ThumbPosition	IndexPosition	PalmPosition	ObjectPosition	RightEyePosition	Annotations	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
5.32,-0.2638202,-4.14,	5.32,-0.2638202,-4.14,	5.47,-0.34,-4.29,	5.41,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
